省（区、市）,市（区）,县,项目名称,所属基地,项目类型,项目阶段,核准容量（MW）,核准日期（年/月/日）,开工日期（年/月/日）,累计吊装容量（MW）,首次并网日期（年/月/日）,全部并网日期（年/月/日）,并网容量（MW）,项目公司,所属集团,备注,并网年份
河北省,张家口市,怀来县,怀南风电场一期49.5MW工程项目,,陆上集中式,在建,49.5,,2020/4/15,,,,,京能怀南河北风电有限责任公司,京能,,2019
河北省,沧州市,沧县,洁远风电二期项目工程（100MW),,陆上集中式,在建,100,,2019/6/1,,,,,洁远（沧县）新能源有限公司,其它投资企业,,2019
河北省,张家口市,张北县,金风科技张北县二台镇100MW风电项目核准的批复,,陆上集中式,在建,100,2018/10/29,2020/5/1,,,,,张北沐泽新能源有限公司,,,2019
河北省,张家口市,张北县,金风张北大囫囵项目,,陆上集中式,在建,75,2019/6/30,,,,,,张北风沐新能源有限公司,天润,,2019
河北省,邢台市,巨鹿县,巨鹿100MW风电项目,,陆上集中式,在建,50,2018/12/1,,,,,,巨鹿县腾煌新能源科技有限公司,其它投资企业,,2019
河北省,张家口市,康保县,康保丹清河风电场一期49.5MW工程,,陆上集中式,在建,49.5,,,,,,,康保华源新能源有限公司,其它投资企业,,2019
河北省,张家口市,康保县,康保卧龙山100MW风电场工程,,陆上集中式,在建,100,2019/5/1,,,,,,河北建投张家口风能有限公司,河北建投,,2019
河北省,张家口市,康保县,康保徐五林二期风电场项目,,陆上集中式,在建,49,,,,,,,康保县聚合风力发电有限公司,其它投资企业,,2019
河北省,张家口市,张家口市康保县,联合动力康保邓油坊项目,,陆上集中式,在建,50,2019/6/30,,,,,,国电联合动力技术（康保）有限公司,国能投,,2019
河北省,张家口市,张北县,两面井天润100MW风电项目,,陆上集中式,在建,100,2016/12/12,,,,,,张北县天润风电有限公司,,,2019
河北省,张家口市,张北县,两面井天润平价上网风电项目,,陆上集中式,在建,50,,2020/4/20,,,,,张北县天汇风电有限公司,天润,,2019
河北省,张家口市,尚义县,龙源尚义陈所梁风电场,,陆上集中式,在建,300,,2020/3/1,,,,,龙源集团,国能投,,2019
河北省,秦皇岛市,卢龙县,卢龙县石门镇风电场项目,,陆上集中式,在建,48,2014/12/13,2018/1/1,,,,,华能秦皇岛风力发电有限公司,华能,,2019
河北省,承德市,滦平县,滦平天宏100兆瓦风电场项目,,陆上集中式,在建,100,2017/9/22,2019/1/1,,,,,滦平协亨风力发电有限公司,其它投资企业,,2019
河北省,张家口市,康保县,三峡新能源康保100MW平价上网示范项目,,陆上集中式,在建,100,,,,,,,三峡新能源康保发电有限公司,三峡,,2019
河北省,张家口市,康保县,三峡新能源康保老章盖风电场项目,,陆上集中式,在建,150,2016/11/30,2019/8/1,,,,,三峡新能源康保发电有限公司,三峡新能源,,2019
河北省,秦皇岛市,昌黎县,山东凯润昌黎二期150MW风电项目（100MW风电工程）,,陆上集中式,在建,100,,2018/5/1,,,,,凯润（昌黎）滦河口风力发电有限公司,其它投资企业,,2019
河北省,张家口市,尚义县,尚义石井风电场二期49.5MW,,陆上集中式,在建,49.5,2017/10/9,2019/8/1,,,,,三峡新能源尚义风电有限公司,三峡集团,,2019
河北省,张家口市,尚义县,尚义新天大东山风电场工程,,陆上集中式,在建,145.5,2016/9/21,2020/3/1,,,,,尚义新天风能有限公司,河北建投,,2019
河北省,张家口市,张北县,万邦张北风电场,,陆上集中式,在建,100,2016/11/30,2018/10/1,,,,,张北县万邦能源电力开发有限公司,其它投资企业,,2019
河北省,张家口市,万全县,万全博德玉龙大柳沟风电场一期49.5兆瓦项目,,陆上集中式,在建,49.5,2017/11/20,2018/1/1,,,,,张家口博德玉龙电力开发有限公司,其它投资企业,,2019
河北省,承德市,围场满族蒙古族自治县,围场大西沟200MW风电场项目,,陆上集中式,在建,200,2015/12/24,,,,,,承德御景新能源有限公司,河北建投,,2019
河北省,承德市,围场满族蒙古族自治县,围场东台子智慧风电场示范项目,,陆上集中式,在建,48,2014/11/14,2015/7/1,25.3,,,,新天绿色能源围场有限公司,河北建投,,2019
河北省,承德市,围场满族蒙古族自治县,围场高家山48MW风电场项目,,陆上集中式,在建,48,2015/12/24,2017/9/1,,,,,新天绿色能源围场有限公司,河北建投,,2019
河北省,承德市,围场满族蒙古族自治县,围场棋新300兆瓦风电场项目,,陆上集中式,在建,300,2014/12/31,2016/8/1,,,,,河北龙源风力发电有限公司,国电龙源,,2019
河北省,张家口市,沽源县,新天沽源西坝风电场,,陆上集中式,在建,49.5,2016/10/13,2019/9/1,,,,,建投燕山（沽源）风能有限公司,河北建投,,2019
河北省,沧州市,盐山县,盐山县宏润宣北干沟50兆瓦风电项目,,陆上集中式,在建,50,2017/12/30,2018/8/1,18,,,,盐山宏润风力发电有限公司,其它投资企业,,2019
河北省,张家口市,阳原县,阳原国兴一期风电场项目,,陆上集中式,在建,50,2016/11/30,2020/1/1,,,,,阳原国兴新能源科技有限公司,其它投资企业,,2019
河北省,石家庄市,赞皇县,赞皇40万千万一期20万千万风电项目,,陆上集中式,在建,100,2017/12/28,2020/3/1,,,,,赞皇蓝源风力发电有限公司,其它投资企业,,2019
河北省,张家口市,张北县,张北弘泰玉带湾风电场,,陆上集中式,在建,49.5,2016/12/16,2020/4/1,,,,,张北弘泰新能源科技有限公司,,,2019
河北省,张家口市,张北县,张北西滩风电场一期49.5MW工程,,陆上集中式,在建,49.5,2016/11/16,2017/1/1,,,,,张家口博德神龙风能开发有限公司,华锐集团,,2019
河北省,张家口市,张北县,"张北县""互联网+智慧能源""示范项目（300MW风电部分）",,陆上集中式,在建,300,2018/6/8,2020/3/10,,,,,张北禾润能源有限公司,国家电力投资集团公司,,2019
河北省,张家口市,宣化区,张家口泰源宣化100MW风电场项目,,陆上集中式,在建,100,,2020/4/26,,,,,张家口泰源新能源有限公司,其它投资企业,,2019
河北省,张家口市,张北县,浙江运达张北二台镇宇宙营风电场项目,,陆上集中式,在建,100,,2019/4/5,,,,,浙江运达风电股份有限公司,浙江运达,,2019
河北省,张家口市,沽源县,中船海装沽源高山堡乡风电场项目,,陆上集中式,在建,50,2016/12/29,2020/5/1,,,,,中船海装（北京）新能源投资有限公司,中船重工,,2019
河北省,张家口市,张北县,中电投张北中泉风电场100兆瓦工程项目,,陆上集中式,在建,100,,2019/8/9,,,,,中电投张北新能源发电有限公司,国电投,,2019
河北省,张家口市,察北县,中广核察北二期风电项目,,陆上集中式,在建,50,2017/11/8,2019/10/18,,,,,中广核张家口察北风力发电有限公司,中广核,,2019
