FID_1,Lat,Lon,built_rati,2015power
403,23.25,106.875,0,0
404,23.25,107.1875,0.00051948,5054.331829
405,23.25,107.5,0.0403162,385785.2138
406,23.25,107.8125,0.00467532,29506.0053
407,23.25,108.125,0.0513834,386176.9269
408,23.25,108.4375,0.0166234,74053.13271
409,23.25,108.75,0.0568831,227614.1268
410,23.25,109.0625,0.0361001,201837.3901
411,23.25,109.375,0.0267532,127161.8254
412,23.25,109.6875,0.0216074,66458.28316
413,23.25,110,0.021039,103037.6126
414,23.25,110.3125,0.00421607,9518.60838
415,23.25,110.625,0.00051948,756.6002174
416,23.25,110.9375,0.00805195,19209.84671
417,23.25,111.25,0.00421607,13527.49142
418,23.25,111.5625,0.00727273,24866.41478
419,23.25,111.875,0.0115942,44639.62362
420,23.25,112.1875,0.00623377,14930.81546
421,23.25,112.5,0.0197628,14762.428
422,23.25,112.8125,0.177143,1148062.277
423,23.25,113.125,0.615065,6376905.812
424,23.25,113.4375,0.358893,2045946.888
425,23.25,113.75,0.139221,676449.3964
426,23.25,114.0625,0.0598155,219621.6823
427,23.25,114.375,0.0776623,413335.7104
428,23.25,114.6875,0.00263505,7634.234581
429,23.25,115,0,0
430,23.25,115.3125,0.00051948,764.4850979
431,23.25,115.625,0.00843215,19389.53161
432,23.25,115.9375,0.0355844,137409.8901
433,23.25,116.25,0.4361,3093741.916
434,23.25,116.5625,0.331948,1924415.651
435,23.25,116.875,0.0416337,34795.8777
437,23.25,119.375,0,0
439,23.25,120,0.00500659,4828.687533
440,23.25,120.3125,0.119221,766958.4095
441,23.25,120.625,0,0
443,23.25,121.25,0.00701299,2480.131325
444,23.25,121.5625,0,0
445,23.5,98.75,0.000517598,27.28557505
446,23.5,99.0625,0.0188776,10725.41359
447,23.5,99.375,0.00698758,11696.02977
448,23.5,99.6875,0.0102041,8525.120855
449,23.5,100,0.00258799,1611.893844
450,23.5,100.3125,0.00331633,1933.355191
451,23.5,100.625,0.0109694,5983.758722
452,23.5,100.9375,0,0
453,23.5,101.25,0,0
454,23.5,101.5625,0.00284679,2439.499299
455,23.5,101.875,0.0209184,18304.12892
456,23.5,102.1875,0.001294,1252.22462
457,23.5,102.5,0.00204082,4011.948854
458,23.5,102.8125,0.0193878,145829.8502
459,23.5,103.125,0.0491718,264076.2791
460,23.5,103.4375,0.0841837,1573515.967
461,23.5,103.75,0.00284679,30864.11574
462,23.5,104.0625,0.00637755,101797.7037
463,23.5,104.375,0.0274327,310569.8213
464,23.5,104.6875,0.00280612,10586.52882
465,23.5,105,0.00178571,5768.846869
466,23.5,105.3125,0,0
467,23.5,105.625,0,0
468,23.5,105.9375,0,0
469,23.5,106.25,0,0
470,23.5,106.5625,0.000776398,5417.256874
471,23.5,106.875,0,0
472,23.5,107.1875,0.0147959,109832.6364
473,23.5,107.5,0,0
474,23.5,107.8125,0.000510204,3745.24838
475,23.5,108.125,0.0015528,10055.63156
476,23.5,108.4375,0.00586735,18314.30727
477,23.5,108.75,0.0209184,141129.1181
478,23.5,109.0625,0.00465839,23374.07485
479,23.5,109.375,0.00714286,37487.42357
480,23.5,109.6875,0.0191511,77521.29243
481,23.5,110,0.0219388,39883.49776
482,23.5,110.3125,0.0227743,125412.9789
483,23.5,110.625,0.0140306,53188.3981
484,23.5,110.9375,0.00331633,2911.074176
485,23.5,111.25,0.0688406,301195.4719
486,23.5,111.5625,0.00765306,6432.599736
487,23.5,111.875,0,0
488,23.5,112.1875,0.00178571,1937.163145
489,23.5,112.5,0.00232919,3846.31175
490,23.5,112.8125,0.0484694,191849.5434
491,23.5,113.125,0.19949,1188022.139
492,23.5,113.4375,0.110248,496823.511
493,23.5,113.75,0.0119898,29463.47794
494,23.5,114.0625,0.001294,1767.332791
495,23.5,114.375,0.0244898,88038.72365
496,23.5,114.6875,0.0173395,78795.42082
497,23.5,115,0.00229592,8487.682643
498,23.5,115.3125,0,0
499,23.5,115.625,0.00232919,7632.573371
500,23.5,115.9375,0.0691327,288341.9282
501,23.5,116.25,0.386128,3528327.907
502,23.5,116.5625,0.607143,5384783.446
503,23.5,116.875,0.287526,1545124.327
504,23.5,117.1875,0.0117347,4733.945317
505,23.5,117.5,0.00102041,323.3038013
507,23.5,119.6875,0.0173469,7236.893711
508,23.5,120,0,0
509,23.5,120.3125,0.139286,986569.2148
510,23.5,120.625,0.014234,23902.16694
512,23.5,121.25,0.00229592,532.8041901
513,23.5,121.5625,0,0
514,23.75,97.5,0,0
515,23.75,97.8125,0,0
516,23.75,98.75,0,0
517,23.75,99.0625,0.00229592,511.4460384
518,23.75,99.375,0.00388199,1321.450922
519,23.75,99.6875,0.00357143,1093.72158
520,23.75,100,0.0106108,6492.259203
521,23.75,100.3125,0,0
522,23.75,100.625,0.000765306,219.2919904
523,23.75,100.9375,0.000776398,91.04304361
524,23.75,101.25,0,0
525,23.75,101.5625,0,0
526,23.75,101.875,0.0163265,12136.77333
527,23.75,102.1875,0.010352,1776.324784
528,23.75,102.5,0.0211735,60423.49768
529,23.75,102.8125,0.0232143,302517.4058
530,23.75,103.125,0.0535714,529451.2757
531,23.75,103.4375,0.00153061,8906.313009
532,23.75,103.75,0.01294,357407.122
533,23.75,104.0625,0.00127551,40797.56363
534,23.75,104.375,0.00439959,80089.29164
535,23.75,104.6875,0.00153061,12082.32845
536,23.75,105,0.00280612,16416.85345
537,23.75,105.3125,0,0
538,23.75,105.625,0.00892857,27040.49567
539,23.75,105.9375,0.000517598,886.9737899
540,23.75,106.25,0,0
